2022-11-12 19:52:51 status unpacked gir1.2-mutter-10:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 status half-configured gir1.2-mutter-10:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 status installed gir1.2-mutter-10:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 configure gnome-shell:arm64 42.5-0ubuntu1 <none>
2022-11-12 19:52:51 status unpacked gnome-shell:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 status half-configured gnome-shell:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 status installed gnome-shell:arm64 42.5-0ubuntu1
2022-11-12 19:52:51 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-12 19:52:51 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-12 19:52:51 status installed libc-bin:arm64 2.35-0ubuntu3.1
